Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,3,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Bachelor's degree,4,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences","$36,200 ",20
Bachelor's degree,4,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology","$54,900 ",200
Bachelor's degree,4,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,"$39,100 ",40
Master's degree,4,26. Biological and biomedical sciences,"26.01. Biology, general","$59,500 ",140
Master's degree,4,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,"$59,300 ",30
Master's degree,4,26. Biological and biomedical sciences,26.12. Biotechnology,"$45,100 ",20
Master's degree,4,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,"$39,700 ",20
Doctoral degree,4,26. Biological and biomedical sciences,"26.01. Biology, general","$54,500 ",90
Doctoral degree,4,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,"$53,100 ",50
Doctoral degree,4,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences","$64,100 ",20
Doctoral degree,4,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,"$54,600 ",30
Bachelor's degree,5,26. Biological and biomedical sciences,"26.01. Biology, general","$53,500 ",1240
Bachelor's degree,5,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,"$48,400 ",70
Bachelor's degree,5,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,"$51,800 ",80
Bachelor's degree,5,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,"$59,700 ",70
Bachelor's degree,5,26. Biological and biomedical sciences,26.07. Zoology/animal biology,"$44,800 ",120
Diploma,3,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Bachelor's degree,5,26. Biological and biomedical sciences,26.08. Genetics,"$72,200 ",20
Bachelor's degree,5,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences","$57,100 ",30
Bachelor's degree,5,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology","$57,500 ",190
Diploma,3,"52. Business, management, marketing and related support services",52.11. International business/trade/commerce,,
Bachelor's degree,5,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,"$54,400 ",50
Master's degree,5,26. Biological and biomedical sciences,"26.01. Biology, general","$62,500 ",160
Master's degree,5,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,"$58,900 ",20
Diploma,3,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Master's degree,5,26. Biological and biomedical sciences,26.12. Biotechnology,"$56,900 ",30
Master's degree,5,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,"$49,200 ",30
Doctoral degree,5,26. Biological and biomedical sciences,"26.01. Biology, general","$58,800 ",90
Diploma,3,54. History,54.01. History,,
Doctoral degree,5,26. Biological and biomedical sciences,26.02. Biochemistry/biophysics and molecular biology,"$55,900 ",60
Doctoral degree,5,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences","$74,500 ",30
Bachelor's degree,1,27. Mathematics and statistics,27.01. Mathematics,"$36,300 ",120
Bachelor's degree,1,27. Mathematics and statistics,27.03. Applied mathematics,"$37,800 ",50
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences",01.10. Food science and technology,,
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,,
Bachelor's degree,1,27. Mathematics and statistics,27.05. Statistics,"$48,500 ",20
Bachelor's degree,2,27. Mathematics and statistics,27.01. Mathematics,"$45,100 ",110
Bachelor's degree,3,03. Natural resources and conservation,03.05. Forestry,,
Bachelor's degree,3,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Bachelor's degree,3,27. Mathematics and statistics,27.01. Mathematics,"$50,000 ",120
Doctoral degree,3,27. Mathematics and statistics,27.05. Statistics,"$78,600 ",30
Bachelor's degree,4,27. Mathematics and statistics,27.01. Mathematics,"$57,700 ",110
Doctoral degree,4,27. Mathematics and statistics,27.05. Statistics,"$84,200 ",30
Bachelor's degree,5,27. Mathematics and statistics,27.01. Mathematics,"$63,800 ",150
Doctoral degree,5,27. Mathematics and statistics,27.05. Statistics,"$87,600 ",20
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,"$33,500 ",50
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,"$45,700 ",90
Bachelor's degree,3,11. Computer and information sciences and support services,11.04. Information science/studies,,
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,"$66,200 ",170
Bachelor's degree,3,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Bachelor's degree,1,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other","$34,500 ",50
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,"$40,000 ",50
Bachelor's degree,3,13. Education,13.04. Educational administration and supervision,,
Bachelor's degree,3,13. Education,13.05. Educational/instructional media design,,
Bachelor's degree,3,13. Education,"13.06. Educational assessment, evaluation and research",,
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,"$47,600 ",100
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,"$74,100 ",180
Bachelor's degree,3,14. Engineering,"14.01. Engineering, general",,
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other","$48,500 ",20
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,"$39,600 ",50
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,"$47,700 ",90
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,"$75,800 ",180
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other","$48,300 ",40
Bachelor's degree,4,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,"$42,000 ",50
Bachelor's degree,4,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,"$57,700 ",110
Bachelor's degree,4,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,"$75,100 ",170
Bachelor's degree,4,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other","$46,300 ",30
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,"$49,200 ",60
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,30.18. Natural sciences,"$57,600 ",130
Bachelor's degree,3,14. Engineering,14.36. Manufacturing engineering,,
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,30.19. Nutrition sciences,"$76,200 ",170
Bachelor's degree,3,15. Engineering technologies and engineering-related fields,"15.00. Engineering technology, general",,
Bachelor's degree,3,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Bachelor's degree,3,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,,
Bachelor's degree,5,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other","$56,300 ",30
Certificate,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$35,600 ",90
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.03. East Asian languages, literatures and linguistics",,
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.04. Slavic, Baltic and Albanian languages, literatures and linguistics",,
Bachelor's degree,3,"16. Aboriginal and foreign languages, literatures and linguistics","16.05. Germanic languages, literatures and linguistics",,
Diploma,1,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies","$28,300 ",30
Diploma,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$31,700 ",240
Bachelor's degree,3,19. Family and consumer sciences/human sciences,"19.01. Family and consumer sciences/human sciences, general",,
Bachelor's degree,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$37,400 ",920
Master's degree,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$58,600 ",70
Bachelor's degree,3,19. Family and consumer sciences/human sciences,19.09. Apparel and textiles,,
Doctoral degree,1,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$36,400 ",30
Certificate,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$35,400 ",100
Diploma,2,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies","$33,000 ",40
Diploma,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$37,000 ",260
Bachelor's degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$43,300 ",850
Master's degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$64,900 ",70
Bachelor's degree,3,26. Biological and biomedical sciences,26.03. Botany/plant biology,,
Doctoral degree,2,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$49,400 ",30
Certificate,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$39,100 ",80
Diploma,3,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies","$28,600 ",30
Bachelor's degree,3,26. Biological and biomedical sciences,26.08. Genetics,,
Bachelor's degree,3,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",,
Bachelor's degree,3,26. Biological and biomedical sciences,26.10. Pharmacology and toxicology,,
Bachelor's degree,3,26. Biological and biomedical sciences,"26.11. Biomathematics, bioinformatics, and computational biology",,
Bachelor's degree,3,26. Biological and biomedical sciences,26.12. Biotechnology,,
Diploma,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$38,400 ",260
Bachelor's degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$48,200 ",880
Master's degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$67,300 ",70
Bachelor's degree,3,27. Mathematics and statistics,27.03. Applied mathematics,,
Bachelor's degree,3,27. Mathematics and statistics,27.05. Statistics,,
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,"30.15. Science, technology and society",,
Doctoral degree,3,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$72,700 ",40
Certificate,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$41,900 ",90
Diploma,4,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies","$30,000 ",30
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Bachelor's degree,3,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Diploma,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$42,200 ",260
Bachelor's degree,3,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",,
Bachelor's degree,3,"31. Parks, recreation, leisure and fitness studies","31.03. Parks, recreation and leisure facilities management",,
Bachelor's degree,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$52,400 ",890
Master's degree,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$57,700 ",80
Bachelor's degree,3,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Bachelor's degree,3,38. Philosophy and religious studies,"38.99. Philosophy and religious studies, other",,
Bachelor's degree,3,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Bachelor's degree,3,39. Theology and religious vocations,39.06. Theological and ministerial studies,,
Bachelor's degree,3,39. Theology and religious vocations,"39.99. Theology and religious vocations, other",,
Doctoral degree,4,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$79,000 ",30
Bachelor's degree,3,40. Physical sciences,40.02. Astronomy and astrophysics,,
Bachelor's degree,3,40. Physical sciences,40.04. Atmospheric sciences and meteorology,,
Certificate,5,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$39,100 ",100
Diploma,5,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies","$35,200 ",20
Diploma,5,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$39,700 ",270
Bachelor's degree,5,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$55,900 ",980
Master's degree,5,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$61,200 ",90
Doctoral degree,5,"31. Parks, recreation, leisure and fitness studies",31.05. Health and physical education/fitness,"$67,300 ",30
Bachelor's degree,1,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics","$33,900 ",130
Bachelor's degree,2,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics","$35,600 ",120
Bachelor's degree,3,44. Public administration and social service professions,44.04. Public administration,,
Bachelor's degree,3,44. Public administration and social service professions,44.05. Public policy analysis,,
Bachelor's degree,3,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics","$40,600 ",110
Bachelor's degree,4,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics","$44,500 ",130
Bachelor's degree,5,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics","$46,000 ",150
Bachelor's degree,1,40. Physical sciences,"40.01. Physical sciences, general","$36,400 ",40
Bachelor's degree,1,40. Physical sciences,40.05. Chemistry,"$42,900 ",200
Bachelor's degree,1,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$61,500 ",700
Bachelor's degree,1,40. Physical sciences,40.08. Physics,"$39,400 ",60
Master's degree,1,40. Physical sciences,40.05. Chemistry,"$55,000 ",40
Master's degree,1,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$88,500 ",150
Doctoral degree,1,40. Physical sciences,40.02. Astronomy and astrophysics,"$52,000 ",30
Doctoral degree,1,40. Physical sciences,40.05. Chemistry,"$24,900 ",140
Doctoral degree,1,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$49,800 ",40
Doctoral degree,1,40. Physical sciences,40.08. Physics,"$10,300 ",30
Bachelor's degree,2,40. Physical sciences,"40.01. Physical sciences, general","$55,800 ",40
Bachelor's degree,2,40. Physical sciences,40.05. Chemistry,"$49,000 ",190
Bachelor's degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$69,900 ",660
Bachelor's degree,2,40. Physical sciences,40.08. Physics,"$49,100 ",70
Master's degree,2,40. Physical sciences,40.05. Chemistry,"$60,900 ",40
Master's degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$89,200 ",140
Doctoral degree,2,40. Physical sciences,40.02. Astronomy and astrophysics,"$69,500 ",30
Bachelor's degree,3,51. Health professions and related programs,51.07. Health and medical administrative services,,
Bachelor's degree,3,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",,
Doctoral degree,2,40. Physical sciences,40.05. Chemistry,"$40,200 ",150
Doctoral degree,2,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$67,600 ",40
Doctoral degree,2,40. Physical sciences,40.08. Physics,"$55,900 ",20
Bachelor's degree,3,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Bachelor's degree,3,40. Physical sciences,"40.01. Physical sciences, general","$55,600 ",30
Bachelor's degree,3,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Bachelor's degree,3,40. Physical sciences,40.05. Chemistry,"$54,700 ",190
Bachelor's degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$70,600 ",660
Bachelor's degree,3,40. Physical sciences,40.08. Physics,"$50,300 ",70
Master's degree,3,40. Physical sciences,40.05. Chemistry,"$60,700 ",40
Master's degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$88,600 ",130
Doctoral degree,3,40. Physical sciences,40.02. Astronomy and astrophysics,"$71,400 ",30
Doctoral degree,3,40. Physical sciences,40.05. Chemistry,"$55,600 ",150
Doctoral degree,3,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$74,900 ",40
Doctoral degree,3,40. Physical sciences,40.08. Physics,"$20,900 ",30
Bachelor's degree,3,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Bachelor's degree,4,40. Physical sciences,"40.01. Physical sciences, general","$63,000 ",40
Bachelor's degree,4,40. Physical sciences,40.05. Chemistry,"$54,300 ",200
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.18. General sales, merchandising and related marketing operations",,
Bachelor's degree,3,"52. Business, management, marketing and related support services","52.19. Specialized sales, merchandising and marketing operations",,
Bachelor's degree,4,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$70,800 ",660
Bachelor's degree,4,40. Physical sciences,40.08. Physics,"$54,000 ",70
Master's degree,4,40. Physical sciences,40.05. Chemistry,"$64,500 ",40
Master's degree,4,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$90,000 ",130
Doctoral degree,4,40. Physical sciences,40.05. Chemistry,"$63,900 ",140
Doctoral degree,4,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$78,800 ",40
Bachelor's degree,5,40. Physical sciences,"40.01. Physical sciences, general","$56,500 ",50
Bachelor's degree,5,40. Physical sciences,40.05. Chemistry,"$54,300 ",230
Bachelor's degree,5,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$68,800 ",680
Bachelor's degree,5,40. Physical sciences,40.08. Physics,"$53,100 ",80
Master's degree,5,40. Physical sciences,40.05. Chemistry,"$65,900 ",40
Master's degree,5,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$82,200 ",140
Doctoral degree,5,40. Physical sciences,40.05. Chemistry,"$67,600 ",120
Master's degree,3,"05. Area, ethnic, cultural, gender, and group studies",05.01. Area studies,,
Master's degree,3,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Master's degree,3,"05. Area, ethnic, cultural, gender, and group studies","05.99. Area, ethnic, cultural, gender, and group studies, other",,
Doctoral degree,5,40. Physical sciences,40.06. Geological and Earth sciences/geosciences,"$80,900 ",40
Diploma,1,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,"$38,000 ",60
Master's degree,3,11. Computer and information sciences and support services,11.04. Information science/studies,,
Diploma,1,41. Science technologies/technicians,41.03. Physical science technologies/technicians,"$46,800 ",220
Master's degree,3,11. Computer and information sciences and support services,11.10. Computer/information technology administration and management,,
Diploma,2,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,"$40,700 ",60
Diploma,2,41. Science technologies/technicians,41.03. Physical science technologies/technicians,"$51,100 ",200
Diploma,3,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,"$40,900 ",50
Diploma,3,41. Science technologies/technicians,41.03. Physical science technologies/technicians,"$52,900 ",220
Master's degree,3,13. Education,13.09. Social and philosophical foundations of education,,
Diploma,4,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,"$42,100 ",50
Master's degree,3,13. Education,"13.13. Teacher education and professional development, specific subject areas",,
Master's degree,3,14. Engineering,14.05. Bioengineering and biomedical engineering,,
Diploma,4,41. Science technologies/technicians,41.03. Physical science technologies/technicians,"$55,700 ",220
Diploma,5,41. Science technologies/technicians,41.01. Biology technician/biotechnology laboratory technician,"$45,400 ",40
Diploma,5,41. Science technologies/technicians,41.03. Physical science technologies/technicians,"$55,600 ",220
Bachelor's degree,1,42. Psychology,"42.01. Psychology, general","$38,000 ",1870
Bachelor's degree,1,42. Psychology,"42.28. Clinical, counselling and applied psychology","$58,000 ",60
Master's degree,3,14. Engineering,14.38. Surveying engineering,,
Master's degree,1,42. Psychology,"42.01. Psychology, general","$56,800 ",60
Master's degree,3,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",,
Master's degree,1,42. Psychology,"42.28. Clinical, counselling and applied psychology","$61,100 ",450
Doctoral degree,1,42. Psychology,"42.01. Psychology, general","$61,800 ",30
Doctoral degree,1,42. Psychology,"42.28. Clinical, counselling and applied psychology","$72,600 ",40
Bachelor's degree,2,42. Psychology,"42.01. Psychology, general","$42,100 ",1770
Bachelor's degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology","$64,100 ",70
Master's degree,3,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,,
Master's degree,3,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,,
Master's degree,3,26. Biological and biomedical sciences,"26.09. Physiology, pathology and related sciences",,
Master's degree,2,42. Psychology,"42.01. Psychology, general","$59,700 ",50
Master's degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology","$66,000 ",430
Master's degree,3,27. Mathematics and statistics,27.01. Mathematics,,
Master's degree,3,27. Mathematics and statistics,27.05. Statistics,,
Master's degree,3,"28. Military science, leadership and operational art","28.08. Military science, leadership and operational artCAN",,
Master's degree,3,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Master's degree,3,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Master's degree,3,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",,
Doctoral degree,2,42. Psychology,"42.01. Psychology, general","$56,200 ",50
Master's degree,3,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",,
Master's degree,3,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Master's degree,3,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Master's degree,3,40. Physical sciences,40.02. Astronomy and astrophysics,,
Doctoral degree,2,42. Psychology,"42.28. Clinical, counselling and applied psychology","$69,800 ",40
Bachelor's degree,3,42. Psychology,"42.01. Psychology, general","$44,800 ",1750
Master's degree,3,40. Physical sciences,40.08. Physics,,
Bachelor's degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology","$70,800 ",60
Master's degree,3,42. Psychology,"42.01. Psychology, general","$61,700 ",60
Master's degree,3,44. Public administration and social service professions,"44.00. Human services, general",,
Master's degree,3,44. Public administration and social service professions,44.02. Community organization and advocacy,,
Master's degree,3,44. Public administration and social service professions,44.05. Public policy analysis,,
Master's degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology","$66,900 ",420
Master's degree,3,45. Social sciences,45.02. Anthropology,,
Master's degree,3,45. Social sciences,45.03. Archaeology,,
Doctoral degree,3,42. Psychology,"42.01. Psychology, general","$75,900 ",30
Doctoral degree,3,42. Psychology,"42.28. Clinical, counselling and applied psychology","$79,400 ",40
Bachelor's degree,4,42. Psychology,"42.01. Psychology, general","$47,400 ",1770
Bachelor's degree,4,42. Psychology,"42.28. Clinical, counselling and applied psychology","$59,000 ",60
Master's degree,4,42. Psychology,"42.01. Psychology, general","$69,400 ",60
Master's degree,4,42. Psychology,"42.28. Clinical, counselling and applied psychology","$70,400 ",410
Master's degree,3,50. Visual and performing arts,50.07. Fine arts and art studies,,
Master's degree,3,50. Visual and performing arts,50.09. Music,,
Master's degree,3,51. Health professions and related programs,"51.00. Health services/allied health/health sciences, general",,
Doctoral degree,4,42. Psychology,"42.01. Psychology, general","$76,600 ",30
Master's degree,3,51. Health professions and related programs,"51.05. Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)",,
Doctoral degree,4,42. Psychology,"42.28. Clinical, counselling and applied psychology","$79,000 ",30
Master's degree,3,51. Health professions and related programs,51.15. Mental and social health services and allied professions,,
Master's degree,3,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",,
Bachelor's degree,5,42. Psychology,"42.01. Psychology, general","$50,900 ",1920
Bachelor's degree,5,42. Psychology,"42.28. Clinical, counselling and applied psychology","$56,900 ",50
Master's degree,3,51. Health professions and related programs,"51.25. Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,
Master's degree,5,42. Psychology,"42.01. Psychology, general","$53,300 ",60
Master's degree,5,42. Psychology,"42.28. Clinical, counselling and applied psychology","$69,300 ",410
Master's degree,3,"52. Business, management, marketing and related support services",52.03. Accounting and related services,,
Master's degree,3,"52. Business, management, marketing and related support services",52.08. Finance and financial management services,,
Doctoral degree,5,42. Psychology,"42.01. Psychology, general","$77,900 ",40
Master's degree,3,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Master's degree,3,"52. Business, management, marketing and related support services",52.14. Marketing,,
Master's degree,3,"52. Business, management, marketing and related support services","52.99. Business, management, marketing and related support services, other",,
Doctoral degree,5,42. Psychology,"42.28. Clinical, counselling and applied psychology","$76,700 ",50
Master's degree,3,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Doctoral degree,3,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Doctoral degree,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,,
Certificate,1,43. Security and protective services,43.01. Criminal justice and corrections,"$43,100 ",60
Doctoral degree,3,04. Architecture and related services,04.04. Environmental design/architecture,,
Doctoral degree,3,"09. Communication, journalism and related programs",09.01. Communication and media studies,,
Certificate,1,43. Security and protective services,43.02. Fire protection,"$47,900 ",630
Certificate,1,43. Security and protective services,"43.99. Security and protective services, other","$46,600 ",90
Doctoral degree,3,13. Education,13.04. Educational administration and supervision,,
Doctoral degree,3,13. Education,13.05. Educational/instructional media design,,
Diploma,1,43. Security and protective services,43.01. Criminal justice and corrections,"$42,200 ",870
Diploma,1,43. Security and protective services,43.02. Fire protection,"$56,500 ",30
Doctoral degree,3,14. Engineering,14.05. Bioengineering and biomedical engineering,,
Bachelor's degree,1,43. Security and protective services,43.01. Criminal justice and corrections,"$52,600 ",300
Bachelor's degree,1,43. Security and protective services,"43.99. Security and protective services, other","$110,800 ",80
Certificate,2,43. Security and protective services,43.01. Criminal justice and corrections,"$44,500 ",60
Certificate,2,43. Security and protective services,43.02. Fire protection,"$55,800 ",640
Certificate,2,43. Security and protective services,"43.99. Security and protective services, other","$50,800 ",90
Doctoral degree,3,14. Engineering,14.38. Surveying engineering,,
Diploma,2,43. Security and protective services,43.01. Criminal justice and corrections,"$46,900 ",930
Doctoral degree,3,19. Family and consumer sciences/human sciences,"19.07. Human development, family studies and related services",,
Diploma,2,43. Security and protective services,43.02. Fire protection,"$64,300 ",30
Bachelor's degree,2,43. Security and protective services,43.01. Criminal justice and corrections,"$58,300 ",290
Bachelor's degree,2,43. Security and protective services,"43.99. Security and protective services, other","$117,100 ",80
Doctoral degree,3,26. Biological and biomedical sciences,26.04. Cell/cellular biology and anatomical sciences,,
Doctoral degree,3,26. Biological and biomedical sciences,26.05. Microbiological sciences and immunology,,
Certificate,3,43. Security and protective services,43.01. Criminal justice and corrections,"$47,300 ",70
Doctoral degree,3,26. Biological and biomedical sciences,"26.13. Ecology, evolution, systematics and population biology",,
Doctoral degree,3,26. Biological and biomedical sciences,26.15. Neurobiology and neurosciences,,
Doctoral degree,3,27. Mathematics and statistics,27.03. Applied mathematics,,
Certificate,3,43. Security and protective services,43.02. Fire protection,"$62,400 ",630
Doctoral degree,3,"28. Military science, leadership and operational art","28.08. Military science, leadership and operational artCAN",,
Doctoral degree,3,30. Multidisciplinary/interdisciplinary studies,30.17. Behavioural sciences,,
Doctoral degree,3,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Doctoral degree,3,30. Multidisciplinary/interdisciplinary studies,"30.99. Multidisciplinary/interdisciplinary studies, other",,
Certificate,3,43. Security and protective services,"43.99. Security and protective services, other","$54,700 ",80
